0.2,0.3,0.4,0.5,sample_name,encoder_loss,refiner_loss
0.6328426003456116,0.7248455286026001,0.6854402422904968,0.5588770508766174,scan56,1.6380929946899414,1.3359731435775757
0.13336138427257538,0.09431880712509155,0.03868194669485092,0.006089488975703716,scan49,3.4882779121398926,3.420684814453125
0.2290688306093216,0.1211169883608818,0.06028622388839722,0.03818350285291672,scan3,3.898820638656616,3.836121082305908
0.15679895877838135,0.13226071000099182,0.1053936779499054,0.08925016224384308,scan46,2.505095958709717,2.4944517612457275
0.117823526263237,0.06846128404140472,0.02158934250473976,0.0018450184725224972,scan64,3.65863037109375,3.5902369022369385
0.31578946113586426,0.23138763010501862,0.11146161705255508,0.03881126642227173,scan8,3.0121161937713623,3.019158363342285
0.2049180269241333,0.1955542266368866,0.1757596731185913,0.1378309726715088,scan16,2.2762436866760254,2.255479335784912
0.3598475456237793,0.22263352572917938,0.08423538506031036,0.024643585085868835,scan66,3.2268869876861572,3.1290271282196045
0.15291374921798706,0.13214930891990662,0.09136153757572174,0.05547112599015236,scan59,2.5266549587249756,2.503695249557495
0.16953204572200775,0.08645589649677277,0.044851258397102356,0.02789131924510002,scan99,3.313192129135132,3.3160414695739746
0.044583987444639206,0.018544936552643776,0.004112405702471733,0.0011144130257889628,scan73,2.665360927581787,2.715003490447998
0.05440342053771019,0.03752372786402702,0.018450893461704254,0.007093722932040691,scan127,6.342987537384033,6.251847267150879
